locality,orgname,count
KOKROBETE,weija,1
ABLKEUMA,weija,1
AKWETEMAN,weija,1
WEIIJA,weija,1
BIAKOYE,weija,1
ROYAL,weija,1
QUEEN,weija,1
APLEKU,weija,1
PAPASE,weija,1
NYAMESTE,weija,1
JOHN,weija,1
BORKORBORKOR,weija,1
AWOPSHIE,weija,1
MILLE,weija,1
MCCARTHYY,weija,1
KWASIEMAN,weija,1
BENJIZ,weija,1
BRAODCASTING,weija,1
MGSHS,weija,1
KWASHIMA,weija,1
CAPE,weija,1
MANKESSIM,weija,1
ODRKORO,weija,1
BARNYARD,weija,1
MANCHESTER,weija,1
AMASAMN,weija,1
AWOSHIEB,weija,1
PIG,weija,1
WESTHILLS,weija,1
BOTIANOR,weija,1
DUNYO,weija,1
KRODUA,weija,1
SWOTUM,weija,1
AYEF,weija,1
LAMPTEY,weija,1
DJANMAN,weija,1
KRISPOL,weija,1
TRANFORMER,weija,1
NUNGUA,weija,1
AGAPA,weija,1
DUNKUNA,weija,1
TETEKU,weija,1
APPRE,weija,1
PANFOKROM,weija,1
MCCARTEY,weija,1
MANKESIM,weija,1
TIPPER,weija,1
MAHYIA,weija,1
LASHIEBI,weija,1
MAMOBI,weija,1
WEJIA,weija,1
DOWENYA,weija,1
BANAANA,weija,1
NSAKINA,weija,1
DENKYIRA,weija,1
KORKORBITEY,weija,1
AKWELEY,weija,1
AGLO,weija,1
MELENUM,weija,1
BOTIANO,weija,1
FAADO,weija,1
MAIL,weija,1
APAPAM,weija,1
WAJIA,weija,1
JEJETI,weija,1
APOWA,weija,1
AKAST,weija,1
OPEIKUMA,weija,1
ODUMANSE,weija,1
MANHYIA,weija,1
NYENYANYO,weija,1
ZONGO,weija,1
ATIKO,weija,1
JOWULU,weija,1
LATERBIOKORSHIE,weija,1
ADOMANAFO,weija,1
DWENEWOHO,weija,1
AGOPE,weija,1
LASHIBI,weija,1
AMAFROM,weija,1
